Lazav, the Multifarious	Pantlaza, Sun-Favored	Tifa Lockhart	Lae'zel, Master Chef	Tifa Lockhart
Tifa Lockhart	Fae Dominion (Precon)	Aurelia, the Warleader	Kemba, Kha Regent	Tifa Lockhart
Jeskai Striker (Precon)	Kemba, Kha Regent	Pantlaza, Sun-Favored	Fae Dominion (Precon)	Pantlaza, Sun-Favored
Pantlaza, Sun-Favored	Aphelia, Viper Whisperer	Lazav, the Multifarious	Emmara, Soul of the Accord	Emmara, Soul of the Accord
Emmara, Soul of the Accord	Fae Dominion (Precon)	Massacre Girl	Explorers of the Deep (Precon)	Massacre Girl
Massacre Girl	Narset, Enlightened Master	Aphelia, Viper Whisperer	Lazav, the Multifarious	Lazav, the Multifarious
Lazav, the Multifarious	Rocksanne, Starfall Savant	Pantlaza, Sun-Favored	Lae'zel, Master Chef	Lae'zel, Master Chef
Jeskai Striker (Precon)	Fae Dominion (Precon)	Kemba, Kha Regent	Massacre Girl	Jeskai Striker (Precon)
Aurelia, the Warleader	Massacre Girl	Jeskai Striker (Precon)	Narset, Enlightened Master	Narset, Enlightened Master
Aurelia, the Warleader	Fae Dominion (Precon)	Jeskai Striker (Precon)	Rocksanne, Starfall Savant	Aurelia, the Warleader
Aurelia, the Warleader	Aloy, Machine Master	Massacre Girl	Tifa Lockhart	Aurelia, the Warleader
Aurelia, the Warleader	Narset, Enlightened Master	Aphelia, Viper Whisperer	Emmara, Soul of the Accord	Aurelia, the Warleader
Aurelia, the Warleader	Lazav, the Multifarious	Lae'zel, Master Chef	Massacre Girl	Aurelia, the Warleader
Aurelia, the Warleader	Tifa Lockhart	Emmara, Soul of the Accord	Narset, Enlightened Master	Aurelia, the Warleader
Aurelia, the Warleader	Pantlaza, Sun-Favored	Explorers of the Deep (Precon)	Kemba, Kha Regent	Kemba, Kha Regent
Aurelia, the Warleader	Aloy, Machine Master	Rocksanne, Starfall Savant	Aerith Gainsborough	Aerith Gainsborough
Aurelia, the Warleader	Aloy, Machine Master	Rocksanne, Starfall Savant	Aerith Gainsborough	Aurelia, the Warleader
Anim Pakal, Thousandth Moon	Massacre Girl	Aerith Gainsborough	Pantlaza, Sun-Favored	Anim Pakal, Thousandth Moon
Anim Pakal, Thousandth Moon	Lae'zel, Master Chef	Emmara, Soul of the Accord	Rocksanne, Starfall Savant	Rocksanne, Starfall Savant
Anim Pakal, Thousandth Moon	Narset, Enlightened Master	Tifa Lockhart	Aurelia, the Warleader	Anim Pakal, Thousandth Moon
Anim Pakal, Thousandth Moon	Lae'zel, Master Chef	Rocksanne, Starfall Savant	Aloy, Machine Master	Rocksanne, Starfall Savant
Anim Pakal, Thousandth Moon	Emmara, Soul of the Accord	Lae'zel, Master Chef	Rocksanne, Starfall Savant	Anim Pakal, Thousandth Moon
Anim Pakal, Thousandth Moon	Aloy, Machine Master	Aphelia, Viper Whisperer	Rocksanne, Starfall Savant	Aloy, Machine Master
Aphelia, Viper Whisperer	Kemba, Kha Regent	Lazav, the Multifarious	Massacre Girl	Massacre Girl
Aphelia, Viper Whisperer	Lazav, the Multifarious	Kemba, Kha Regent	Jeskai Striker (Precon)	Aphelia, Viper Whisperer
Jeskai Striker (Precon)	Explorers of the Deep (Precon)	Pantlaza, Sun-Favored	Lazav, the Multifarious	Pantlaza, Sun-Favored
Pantlaza, Sun-Favored	Aphelia, Viper Whisperer	Anim Pakal, Thousandth Moon	Narset, Enlightened Master	Anim Pakal, Thousandth Moon
Anim Pakal, Thousandth Moon	Lazav, the Multifarious	Kemba, Kha Regent	Veloci-Ramp-Tor (Precon)	Anim Pakal, Thousandth Moon
Lazav, the Multifarious	Tifa Lockhart	Aloy, Machine Master	Anim Pakal, Thousandth Moon	Anim Pakal, Thousandth Moon
Lazav, the Multifarious	Fae Dominion (Precon)	Veloci-Ramp-Tor (Precon)	Jeskai Striker (Precon)	Fae Dominion (Precon)
Aphelia, Viper Whisperer	Aerith Gainsborough	Fae Dominion (Precon)	Massacre Girl	Aerith Gainsborough
Anim Pakal, Thousandth Moon	Fae Dominion (Precon)	Emmara, Soul of the Accord	Aerith Gainsborough	Anim Pakal, Thousandth Moon
Anim Pakal, Thousandth Moon	Aurelia, the Warleader	Explorers of the Deep (Precon)	Massacre Girl	Aurelia, the Warleader
Anim Pakal, Thousandth Moon	Aurelia, the Warleader	Explorers of the Deep (Precon)	Fae Dominion (Precon)	Fae Dominion (Precon)
Aurelia, the Warleader	Lae'zel, Master Chef	Pantlaza, Sun-Favored	Aerith Gainsborough	Aurelia, the Warleader
Anim Pakal, Thousandth Moon	Jeskai Striker (Precon)	Kemba, Kha Regent	Veloci-Ramp-Tor (Precon)	Anim Pakal, Thousandth Moon
Anim Pakal, Thousandth Moon	Jeskai Striker (Precon)	Massacre Girl	Narset, Enlightened Master	Anim Pakal, Thousandth Moon
Hakbal of the Surging Soul	Aerith Gainsborough	Massacre Girl	Pantlaza, Sun-Favored	Massacre Girl
Hakbal of the Surging Soul	Fae Dominion (Precon)	Emmara, Soul of the Accord	Narset, Enlightened Master	Emmara, Soul of the Accord
Hakbal of the Surging Soul	Lazav, the Multifarious	Kemba, Kha Regent	Aloy, Machine Master	Kemba, Kha Regent
Anim Pakal, Thousandth Moon	Hakbal of the Surging Soul	Explorers of the Deep (Precon)	Aurelia, the Warleader	Aurelia, the Warleader
Hakbal of the Surging Soul	Fae Dominion (Precon)	Veloci-Ramp-Tor (Precon)	Pantlaza, Sun-Favored	Pantlaza, Sun-Favored
Anim Pakal, Thousandth Moon	Hakbal of the Surging Soul	Lae'zel, Master Chef	Aphelia, Viper Whisperer	Hakbal of the Surging Soul
Anim Pakal, Thousandth Moon	Hakbal of the Surging Soul	Tifa Lockhart	Aurelia, the Warleader	Hakbal of the Surging Soul
Anim Pakal, Thousandth Moon	Fae Dominion (Precon)	Aurelia, the Warleader	Hakbal of the Surging Soul	Aurelia, the Warleader
Aurelia, the Warleader	Veloci-Ramp-Tor (Precon)	Jeskai Striker (Precon)	Emmara, Soul of the Accord	Aurelia, the Warleader
Hakbal of the Surging Soul	Aerith Gainsborough	Narset, Enlightened Master	Massacre Girl	Hakbal of the Surging Soul
Veryan, Voice of Duality	Narset, Enlightened Master	Aerith Gainsborough	Pantlaza, Sun-Favored	Narset, Enlightened Master
Aerith Gainsborough	Kemba, Kha Regent	Veryan, Voice of Duality	Hakbal of the Surging Soul	Aerith Gainsborough
Aloy, Machine Master	Hakbal of the Surging Soul	Veryan, Voice of Duality	Veloci-Ramp-Tor (Precon)	Aloy, Machine Master
Anim Pakal, Thousandth Moon	Veryan, Voice of Duality	Aloy, Machine Master	Hakbal of the Surging Soul	Anim Pakal, Thousandth Moon
Aphelia, Viper Whisperer	Fae Dominion (Precon)	Veloci-Ramp-Tor (Precon)	Explorers of the Deep (Precon)	Explorers of the Deep (Precon)
Aurelia, the Warleader	Veryan, Voice of Duality	Rocksanne, Starfall Savant	Hakbal of the Surging Soul	Rocksanne, Starfall Savant
Emmara, Soul of the Accord	Veryan, Voice of Duality	Massacre Girl	Hakbal of the Surging Soul	Emmara, Soul of the Accord
Explorers of the Deep (Precon)	Veryan, Voice of Duality	Lae'zel, Master Chef	Hakbal of the Surging Soul	Explorers of the Deep (Precon)
Fae Dominion (Precon)	Veryan, Voice of Duality	Lazav, the Multifarious	Jeskai Striker (Precon)	Lazav, the Multifarious
Hakbal of the Surging Soul	Pantlaza, Sun-Favored	Lazav, the Multifarious	Kemba, Kha Regent	Kemba, Kha Regent
Kemba, Kha Regent	Lae'zel, Master Chef	Narset, Enlightened Master	Aerith Gainsborough	Kemba, Kha Regent
Lae'zel, Master Chef	Hakbal of the Surging Soul	Veryan, Voice of Duality	Aloy, Machine Master	Veryan, Voice of Duality
Lazav, the Multifarious	Hakbal of the Surging Soul	Lae'zel, Master Chef	Explorers of the Deep (Precon)	Lae'zel, Master Chef
Massacre Girl	Narset, Enlightened Master	Rocksanne, Starfall Savant	Veryan, Voice of Duality	Narset, Enlightened Master
Narset, Enlightened Master	Kemba, Kha Regent	Aloy, Machine Master	Hakbal of the Surging Soul	Narset, Enlightened Master
Aurelia, the Warleader	Veryan, Voice of Duality	Narset, Enlightened Master	Lae'zel, Master Chef	Aurelia, the Warleader
Bre of Clan Stoutarm	Lae'zel, Master Chef	Pantlaza, Sun-Favored	Kemba, Kha Regent	Kemba, Kha Regent
Bre of Clan Stoutarm	Aerith Gainsborough	Veryan, Voice of Duality	Aloy, Machine Master	Aerith Gainsborough
Bre of Clan Stoutarm	Massacre Girl	Explorers of the Deep (Precon)	Lae'zel, Master Chef	Massacre Girl
Bre of Clan Stoutarm	Hakbal of the Surging Soul	Pantlaza, Sun-Favored	Lazav, the Multifarious	Bre of Clan Stoutarm
Bre of Clan Stoutarm	Tifa Lockhart	Aerith Gainsborough	Emmara, Soul of the Accord	Tifa Lockhart
Bre of Clan Stoutarm	Aloy, Machine Master	Massacre Girl	Aerith Gainsborough	Aloy, Machine Master
Aloy, Machine Master	Emmara, Soul of the Accord	Narset, Enlightened Master	Bre of Clan Stoutarm	Aloy, Machine Master
Aloy, Machine Master	Tifa Lockhart	Pantlaza, Sun-Favored	Anim Pakal, Thousandth Moon	Aloy, Machine Master
Aphelia, Viper Whisperer	Fae Dominion (Precon)	Veloci-Ramp-Tor (Precon)	Hakbal of the Surging Soul	Veloci-Ramp-Tor (Precon)
Veloci-Ramp-Tor (Precon)	Lazav, the Multifarious	Lae'zel, Master Chef	Veryan, Voice of Duality	Veryan, Voice of Duality
Veryan, Voice of Duality	Bre of Clan Stoutarm	Pantlaza, Sun-Favored	Massacre Girl	Massacre Girl
Massacre Girl	Rocksanne, Starfall Savant	Narset, Enlightened Master	Anim Pakal, Thousandth Moon	Anim Pakal, Thousandth Moon
Anim Pakal, Thousandth Moon	Bre of Clan Stoutarm	Explorers of the Deep (Precon)	Veryan, Voice of Duality	Anim Pakal, Thousandth Moon
Anim Pakal, Thousandth Moon	Bre of Clan Stoutarm	Tifa Lockhart	Emmara, Soul of the Accord	Tifa Lockhart
Tifa Lockhart	Veryan, Voice of Duality	Massacre Girl	Narset, Enlightened Master	Tifa Lockhart
Tifa Lockhart	Anim Pakal, Thousandth Moon	Aloy, Machine Master	Veryan, Voice of Duality	Tifa Lockhart
Tifa Lockhart	Aurelia, the Warleader	Hakbal of the Surging Soul	Rocksanne, Starfall Savant	Tifa Lockhart
Tifa Lockhart	Aurelia, the Warleader	Anim Pakal, Thousandth Moon	Narset, Enlightened Master	Tifa Lockhart
Tifa Lockhart	Aloy, Machine Master	Veloci-Ramp-Tor (Precon)	Aurelia, the Warleader	Tifa Lockhart
Tifa Lockhart	Lae'zel, Master Chef	Kemba, Kha Regent	Massacre Girl	Kemba, Kha Regent
Anim Pakal, Thousandth Moon	Bre of Clan Stoutarm	Aurelia, the Warleader	Kemba, Kha Regent	Aurelia, the Warleader
Aurelia, the Warleader	Aloy, Machine Master	Veryan, Voice of Duality	Kemba, Kha Regent	Veryan, Voice of Duality
Veryan, Voice of Duality	Emmara, Soul of the Accord	Pantlaza, Sun-Favored	Massacre Girl	Pantlaza, Sun-Favored
Pantlaza, Sun-Favored	Bre of Clan Stoutarm	Veryan, Voice of Duality	Narset, Enlightened Master	Pantlaza, Sun-Favored
Pantlaza, Sun-Favored	Rocksanne, Starfall Savant	Emmara, Soul of the Accord	Aerith Gainsborough	Rocksanne, Starfall Savant
Rocksanne, Starfall Savant	Kemba, Kha Regent	Fae Dominion (Precon)	Bre of Clan Stoutarm	Bre of Clan Stoutarm
Aurelia, the Warleader	Veryan, Voice of Duality	Rocksanne, Starfall Savant	Pantlaza, Sun-Favored	Rocksanne, Starfall Savant
Aurelia, the Warleader	Veryan, Voice of Duality	Bre of Clan Stoutarm	Kemba, Kha Regent	Aurelia, the Warleader
Aurelia, the Warleader	Pantlaza, Sun-Favored	Veryan, Voice of Duality	Aloy, Machine Master	Aloy, Machine Master
Aurelia, the Warleader	Aloy, Machine Master	Rocksanne, Starfall Savant	Tifa Lockhart	Aurelia, the Warleader
Balan, Wandering Knight	Emmara, Soul of the Accord	Massacre Girl	Aerith Gainsborough	Emmara, Soul of the Accord
Balan, Wandering Knight	Pantlaza, Sun-Favored	Bre of Clan Stoutarm	Narset, Enlightened Master	Balan, Wandering Knight
Balan, Wandering Knight	Kemba, Kha Regent	Aloy, Machine Master	Massacre Girl	Balan, Wandering Knight
Balan, Wandering Knight	Rocksanne, Starfall Savant	Anim Pakal, Thousandth Moon	Veryan, Voice of Duality	Rocksanne, Starfall Savant
Balan, Wandering Knight	Lae'zel, Master Chef	Anim Pakal, Thousandth Moon	Explorers of the Deep (Precon)	Explorers of the Deep (Precon)
Balan, Wandering Knight	Emmara, Soul of the Accord	Veloci-Ramp-Tor (Precon)	Aerith Gainsborough	Emmara, Soul of the Accord
Balan, Wandering Knight	Explorers of the Deep (Precon)	Hakbal of the Surging Soul	Lazav, the Multifarious	Balan, Wandering Knight
Balan, Wandering Knight	Anim Pakal, Thousandth Moon	Fae Dominion (Precon)	Jeskai Striker (Precon)	Anim Pakal, Thousandth Moon
Balan, Wandering Knight	Veryan, Voice of Duality	Lae'zel, Master Chef	Aphelia, Viper Whisperer	Balan, Wandering Knight
Balan, Wandering Knight	Rocksanne, Starfall Savant	Tifa Lockhart	Veloci-Ramp-Tor (Precon)	Balan, Wandering Knight
Balan, Wandering Knight	Aurelia, the Warleader	Anim Pakal, Thousandth Moon	Aloy, Machine Master	Balan, Wandering Knight
Balan, Wandering Knight	Tifa Lockhart	Anim Pakal, Thousandth Moon	Aerith Gainsborough	Balan, Wandering Knight
Balan, Wandering Knight	Aurelia, the Warleader	Fae Dominion (Precon)	Jeskai Striker (Precon)	Jeskai Striker (Precon)
Balan, Wandering Knight	Rocksanne, Starfall Savant	Aurelia, the Warleader	Kemba, Kha Regent	Rocksanne, Starfall Savant
Balan, Wandering Knight	Emmara, Soul of the Accord	Kemba, Kha Regent	Aurelia, the Warleader	Aurelia, the Warleader
Balan, Wandering Knight	Emmara, Soul of the Accord	Massacre Girl	Aurelia, the Warleader	Balan, Wandering Knight
Balan, Wandering Knight	Narset, Enlightened Master	Jeskai Striker (Precon)	Kemba, Kha Regent	Narset, Enlightened Master
Balan, Wandering Knight	Pantlaza, Sun-Favored	Narset, Enlightened Master	Fae Dominion (Precon)	Balan, Wandering Knight
Balan, Wandering Knight	Rocksanne, Starfall Savant	Explorers of the Deep (Precon)	Bre of Clan Stoutarm	Rocksanne, Starfall Savant
Balan, Wandering Knight	Bre of Clan Stoutarm	Jeskai Striker (Precon)	Anim Pakal, Thousandth Moon	Anim Pakal, Thousandth Moon
Balan, Wandering Knight	Kemba, Kha Regent	Explorers of the Deep (Precon)	Aerith Gainsborough	Explorers of the Deep (Precon)
Balan, Wandering Knight	Rocksanne, Starfall Savant	Bre of Clan Stoutarm	Emmara, Soul of the Accord	Rocksanne, Starfall Savant
Balan, Wandering Knight	Emmara, Soul of the Accord	Kemba, Kha Regent	Aerith Gainsborough	Emmara, Soul of the Accord
Emmara, Soul of the Accord	Explorers of the Deep (Precon)	Anim Pakal, Thousandth Moon	Bre of Clan Stoutarm	Explorers of the Deep (Precon)
Explorers of the Deep (Precon)	Narset, Enlightened Master	Aloy, Machine Master	Massacre Girl	Narset, Enlightened Master
Narset, Enlightened Master	Balan, Wandering Knight	Bre of Clan Stoutarm	Emmara, Soul of the Accord	Balan, Wandering Knight
Balan, Wandering Knight	Jeskai Striker (Precon)	Veryan, Voice of Duality	Explorers of the Deep (Precon)	Veryan, Voice of Duality
Blight Curse (Precon)	Explorers of the Deep (Precon)	Veryan, Voice of Duality	Kemba, Kha Regent	Explorers of the Deep (Precon)
Blight Curse (Precon)	Massacre Girl	Pantlaza, Sun-Favored	Emmara, Soul of the Accord	Blight Curse (Precon)
Neerdiv, Devious Diver	Emmara, Soul of the Accord	Blight Curse (Precon)	Veryan, Voice of Duality	Veryan, Voice of Duality
Neerdiv, Devious Diver	Kemba, Kha Regent	Massacre Girl	Pantlaza, Sun-Favored	Pantlaza, Sun-Favored
Neerdiv, Devious Diver	Aerith Gainsborough	Bre of Clan Stoutarm	Lae'zel, Master Chef	Aerith Gainsborough
Neerdiv, Devious Diver	Explorers of the Deep (Precon)	Kemba, Kha Regent	Veloci-Ramp-Tor (Precon)	Neerdiv, Devious Diver
Neerdiv, Devious Diver	Narset, Enlightened Master	Blight Curse (Precon)	Emmara, Soul of the Accord	Neerdiv, Devious Diver
Neerdiv, Devious Diver	Aloy, Machine Master	Balan, Wandering Knight	Anim Pakal, Thousandth Moon	Anim Pakal, Thousandth Moon
Neerdiv, Devious Diver	Aloy, Machine Master	Balan, Wandering Knight	Jeskai Striker (Precon)	Aloy, Machine Master
Bruna, Light of Alabaster	Veryan, Voice of Duality	Blight Curse (Precon)	Emmara, Soul of the Accord	Bruna, Light of Alabaster
Bruna, Light of Alabaster	Narset, Enlightened Master	Neerdiv, Devious Diver	Explorers of the Deep (Precon)	Narset, Enlightened Master
Bruna, Light of Alabaster	Pantlaza, Sun-Favored	Balan, Wandering Knight	Neerdiv, Devious Diver	Balan, Wandering Knight
Bruna, Light of Alabaster	Aerith Gainsborough	Explorers of the Deep (Precon)	Aloy, Machine Master	Bruna, Light of Alabaster
Bruna, Light of Alabaster	Massacre Girl	Kemba, Kha Regent	Bre of Clan Stoutarm	Bruna, Light of Alabaster
Aphelia, Viper Whisperer	Fae Dominion (Precon)	Bre of Clan Stoutarm	Hakbal of the Surging Soul	Hakbal of the Surging Soul
Rocksanne, Starfall Savant	Bruna, Light of Alabaster	Neerdiv, Devious Diver	Blight Curse (Precon)	Bruna, Light of Alabaster
Bruna, Light of Alabaster	Anim Pakal, Thousandth Moon	Tifa Lockhart	Balan, Wandering Knight	Anim Pakal, Thousandth Moon
Anim Pakal, Thousandth Moon	Bruna, Light of Alabaster	Blight Curse (Precon)	Aurelia, the Warleader	Bruna, Light of Alabaster
Bruna, Light of Alabaster	Tifa Lockhart	Narset, Enlightened Master	Balan, Wandering Knight	Tifa Lockhart
Lazav, the Multifarious	Bre of Clan Stoutarm	Kemba, Kha Regent	Blight Curse (Precon)	Kemba, Kha Regent
Lae'zel, Master Chef	Veryan, Voice of Duality	Kemba, Kha Regent	Bre of Clan Stoutarm	Veryan, Voice of Duality
Veloci-Ramp-Tor (Precon)	Bre of Clan Stoutarm	Lae'zel, Master Chef	Lazav, the Multifarious	Veloci-Ramp-Tor (Precon)
Jeskai Striker (Precon)	Bre of Clan Stoutarm	Lazav, the Multifarious	Aphelia, Viper Whisperer	Bre of Clan Stoutarm
Emmara, Soul of the Accord	Pantlaza, Sun-Favored	Explorers of the Deep (Precon)	Aerith Gainsborough	Emmara, Soul of the Accord
Aloy, Machine Master	Balan, Wandering Knight	Blight Curse (Precon)	Narset, Enlightened Master	Balan, Wandering Knight
Massacre Girl	Aerith Gainsborough	Blight Curse (Precon)	Hakbal of the Surging Soul	Massacre Girl
The Devil Strahd	Neerdiv, Devious Diver	Explorers of the Deep (Precon)	Veryan, Voice of Duality	The Devil Strahd
The Devil Strahd	Narset, Enlightened Master	Aloy, Machine Master	Emmara, Soul of the Accord	Narset, Enlightened Master
The Devil Strahd	Massacre Girl	Emmara, Soul of the Accord	Pantlaza, Sun-Favored	Pantlaza, Sun-Favored
The Devil Strahd	Emmara, Soul of the Accord	Aloy, Machine Master	Kemba, Kha Regent	Emmara, Soul of the Accord
The Devil Strahd	Pantlaza, Sun-Favored	Aerith Gainsborough	Massacre Girl	Pantlaza, Sun-Favored
The Devil Strahd	Blight Curse (Precon)	Massacre Girl	Hakbal of the Surging Soul	The Devil Strahd
The Devil Strahd	Aloy, Machine Master	Emmara, Soul of the Accord	Balan, Wandering Knight	Aloy, Machine Master
The Devil Strahd	Emmara, Soul of the Accord	Aloy, Machine Master	Vampiric Bloodline (Precon)	The Devil Strahd
The Devil Strahd	Balan, Wandering Knight	Narset, Enlightened Master	Bruna, Light of Alabaster	The Devil Strahd
The Devil Strahd	Anim Pakal, Thousandth Moon	Rocksanne, Starfall Savant	Aloy, Machine Master	Aloy, Machine Master
The Devil Strahd	Anim Pakal, Thousandth Moon	Rocksanne, Starfall Savant	Aurelia, the Warleader	Aurelia, the Warleader
The Devil Strahd	Pantlaza, Sun-Favored	Aloy, Machine Master	Anim Pakal, Thousandth Moon	The Devil Strahd
The Devil Strahd	Tifa Lockhart	Rocksanne, Starfall Savant	Emmara, Soul of the Accord	Rocksanne, Starfall Savant
The Devil Strahd	Veloci-Ramp-Tor (Precon)	Bre of Clan Stoutarm	Lae'zel, Master Chef	The Devil Strahd
The Devil Strahd	Tifa Lockhart	Aurelia, the Warleader	Bruna, Light of Alabaster	Bruna, Light of Alabaster
